Index,Reconstruction_Error,Anomaly_Score,Is_Anomaly,Severity,Date,Top_Problematic_Features
77,0.6206356435573358,0.8904911070749582,False,Normal,2020-04-17,
78,0.6408180408053696,0.9194489109900147,False,Normal,2020-04-18,
79,0.6421493689513291,0.9213591072329831,False,Normal,2020-04-19,
80,0.6479827462111131,0.9297288659279186,False,Normal,2020-04-20,
81,0.6577414801121284,0.9437307458479239,False,Normal,2020-04-21,
82,0.6645844485128252,0.9535490709313631,False,Normal,2020-04-22,
83,0.6591014352958239,0.9456820163069649,False,Normal,2020-04-23,
84,0.6508643188207448,0.9338633606349258,False,Normal,2020-04-24,
85,0.6531010213884724,0.9370725925996206,False,Normal,2020-04-25,
86,0.6553214934640046,0.9402585369734181,False,Normal,2020-04-26,
87,0.6511142725342068,0.9342219954657301,False,Normal,2020-04-27,
88,0.6292245693768742,0.902814540543566,False,Normal,2020-04-28,
89,0.6272407163972417,0.8999680984249967,False,Normal,2020-04-29,
90,0.6372960530672132,0.9143955454725609,False,Normal,2020-04-30,
91,0.6551220360507295,0.9399723544851815,False,Normal,2020-05-01,
92,0.6591615945547326,0.945768333110749,False,Normal,2020-05-02,
93,0.6600652830670587,0.947064949881226,False,Normal,2020-05-03,
94,0.658496789568239,0.9448144676108264,False,Normal,2020-05-04,
95,0.6660920164547838,0.9557121369098666,False,Normal,2020-05-05,
96,0.6673300266999214,0.9574884401647744,False,Normal,2020-05-06,
97,0.6601060719493529,0.9471234739723374,False,Normal,2020-05-07,
98,0.6616264328208838,0.9493048953097956,False,Normal,2020-05-08,
99,0.6627945987669495,0.9509809856171405,False,Normal,2020-05-09,
100,0.6661125313484618,0.9557415717813125,False,Normal,2020-05-10,
101,0.6550582560306623,0.9398808425952851,False,Normal,2020-05-11,
102,0.6589326428173331,0.9454398320196178,False,Normal,2020-05-12,
103,0.6279763527375174,0.9010235931034879,False,Normal,2020-05-13,
104,0.6136379155902968,0.8804507321962919,False,Normal,2020-05-14,
105,0.6050900457219349,0.8681862060105555,False,Normal,2020-05-15,
106,0.5907841138899192,0.8476599838912267,False,Normal,2020-05-16,
107,0.583079471826504,0.8366053251524185,False,Normal,2020-05-17,
108,0.5653155924857108,0.8111176227551463,False,Normal,2020-05-18,
109,0.575263329469465,0.8253906852379578,False,Normal,2020-05-19,
