,predicted_mean
2948,195.22734199323676
2949,191.31591921972867
2950,193.28807781906028
2951,192.8755427592683
2952,191.45277387307027
2953,191.42175576987353
2954,192.56617462785886
2955,192.1911569357875
2956,192.33971984885594
2957,192.12795768033968
2958,191.96743157346077
2959,192.122659084444
2960,192.22141251335603
2961,192.16968748633641
2962,192.16025317714266
2963,192.12028000389267
2964,192.12373198358642
2965,192.15674956207087
2966,192.15978957769227
2967,192.149245169381
2968,192.1441495283446
2969,192.14100347045934
2970,192.14600179587123
2971,192.1501695844398
2972,192.148544030716
2973,192.14645029121002
2974,192.14578705870883
2975,192.14622166674764
2976,192.1473329376972
2977,192.14751491997652
2978,192.14696531653783
2979,192.14666535129808
2980,192.14670827306983
2981,192.14691216344528
2982,192.14704684836647
2983,192.14697596793394
2984,192.14686915700574
2985,192.14685292724369
2986,192.1468923729333
2987,192.14693075735244
2988,192.14693216859297
2989,192.14690776225353
2990,192.14689490675426
2991,192.14690070530213
2992,192.14691055414548
2993,192.14691403065717
2994,192.14691022340486
2995,192.1469058011164
2996,192.1469056213543
2997,192.14690786188626
2998,192.14690928360756
2999,192.14690894885484
3000,192.14690788043438
3001,192.14690744385862
3002,192.14690781117883
3003,192.1469082538327
3004,192.1469083179546
3005,192.14690810981716
3006,192.1469079419351
3007,192.14690796390752
3008,192.14690807233862
3009,192.14690812227758
3010,192.1469080923092
3011,192.14690804586255
3012,192.146908034613
3013,192.1469080548147
3014,192.14690807299124
3015,192.14690807227683
3016,192.14690806175284
3017,192.1469080557783
3018,192.146908058175
3019,192.14690806304156
3020,192.14690806453962
3021,192.14690806268544
3022,192.1469080607462
3023,192.14690806062535
3024,192.14690806165768
3025,192.1469080623435
3026,192.1469080621625
3027,192.14690806166925
3028,192.1469080614779
3029,192.1469080616418
3030,192.14690806184896
3031,192.1469080618793
3032,192.1469080617797
3033,192.1469080617036
3034,192.1469080617145
3035,192.146908061764
3036,192.14690806178746
3037,192.1469080617733
3038,192.1469080617516
3039,192.1469080617467
3040,192.14690806175605
3041,192.1469080617644
3042,192.1469080617641
3043,192.14690806175918
3044,192.14690806175642
3045,192.14690806175759
3046,192.14690806175983
3047,192.1469080617605
3048,192.14690806175966
3049,192.14690806175875
3050,192.1469080617587
3051,192.14690806175918
3052,192.1469080617595
3053,192.1469080617594
3054,192.14690806175918
3055,192.1469080617591
3056,192.14690806175918
3057,192.14690806175926
3058,192.14690806175926
3059,192.1469080617592
3060,192.14690806175918
3061,192.14690806175918
3062,192.1469080617592
3063,192.1469080617592
3064,192.1469080617592
3065,192.1469080617592
3066,192.1469080617592
3067,192.1469080617592
3068,192.1469080617592
3069,192.1469080617592
3070,192.1469080617592
3071,192.1469080617592
3072,192.1469080617592
3073,192.1469080617592
3074,192.1469080617592
3075,192.1469080617592
3076,192.1469080617592
3077,192.1469080617592
3078,192.1469080617592
3079,192.1469080617592
3080,192.1469080617592
3081,192.1469080617592
3082,192.1469080617592
3083,192.1469080617592
3084,192.1469080617592
3085,192.1469080617592
3086,192.1469080617592
3087,192.1469080617592
3088,192.1469080617592
3089,192.1469080617592
3090,192.1469080617592
3091,192.1469080617592
3092,192.1469080617592
3093,192.1469080617592
3094,192.1469080617592
3095,192.1469080617592
3096,192.1469080617592
3097,192.1469080617592
3098,192.1469080617592
3099,192.1469080617592
3100,192.1469080617592
3101,192.1469080617592
3102,192.1469080617592
3103,192.1469080617592
3104,192.1469080617592
3105,192.1469080617592
3106,192.1469080617592
3107,192.1469080617592
3108,192.1469080617592
3109,192.1469080617592
3110,192.1469080617592
3111,192.1469080617592
3112,192.1469080617592
3113,192.1469080617592
3114,192.1469080617592
3115,192.1469080617592
3116,192.1469080617592
3117,192.1469080617592
3118,192.1469080617592
3119,192.1469080617592
3120,192.1469080617592
3121,192.1469080617592
3122,192.1469080617592
3123,192.1469080617592
3124,192.1469080617592
3125,192.1469080617592
3126,192.1469080617592
3127,192.1469080617592
3128,192.1469080617592
3129,192.1469080617592
3130,192.1469080617592
3131,192.1469080617592
3132,192.1469080617592
3133,192.1469080617592
3134,192.1469080617592
3135,192.1469080617592
3136,192.1469080617592
3137,192.1469080617592
3138,192.1469080617592
3139,192.1469080617592
3140,192.1469080617592
3141,192.1469080617592
3142,192.1469080617592
3143,192.1469080617592
3144,192.1469080617592
3145,192.1469080617592
3146,192.1469080617592
3147,192.1469080617592
3148,192.1469080617592
3149,192.1469080617592
3150,192.1469080617592
3151,192.1469080617592
3152,192.1469080617592
3153,192.1469080617592
3154,192.1469080617592
3155,192.1469080617592
3156,192.1469080617592
3157,192.1469080617592
3158,192.1469080617592
3159,192.1469080617592
3160,192.1469080617592
3161,192.1469080617592
3162,192.1469080617592
3163,192.1469080617592
3164,192.1469080617592
3165,192.1469080617592
3166,192.1469080617592
3167,192.1469080617592
3168,192.1469080617592
3169,192.1469080617592
3170,192.1469080617592
3171,192.1469080617592
3172,192.1469080617592
3173,192.1469080617592
3174,192.1469080617592
3175,192.1469080617592
3176,192.1469080617592
3177,192.1469080617592
3178,192.1469080617592
3179,192.1469080617592
3180,192.1469080617592
3181,192.1469080617592
3182,192.1469080617592
3183,192.1469080617592
3184,192.1469080617592
3185,192.1469080617592
3186,192.1469080617592
3187,192.1469080617592
3188,192.1469080617592
3189,192.1469080617592
3190,192.1469080617592
3191,192.1469080617592
3192,192.1469080617592
3193,192.1469080617592
3194,192.1469080617592
3195,192.1469080617592
3196,192.1469080617592
3197,192.1469080617592
3198,192.1469080617592
3199,192.1469080617592
3200,192.1469080617592
3201,192.1469080617592
3202,192.1469080617592
3203,192.1469080617592
3204,192.1469080617592
3205,192.1469080617592
3206,192.1469080617592
3207,192.1469080617592
3208,192.1469080617592
3209,192.1469080617592
3210,192.1469080617592
3211,192.1469080617592
3212,192.1469080617592
3213,192.1469080617592
3214,192.1469080617592
3215,192.1469080617592
3216,192.1469080617592
3217,192.1469080617592
3218,192.1469080617592
3219,192.1469080617592
3220,192.1469080617592
3221,192.1469080617592
3222,192.1469080617592
3223,192.1469080617592
3224,192.1469080617592
3225,192.1469080617592
3226,192.1469080617592
3227,192.1469080617592
3228,192.1469080617592
3229,192.1469080617592
3230,192.1469080617592
3231,192.1469080617592
3232,192.1469080617592
3233,192.1469080617592
3234,192.1469080617592
3235,192.1469080617592
3236,192.1469080617592
3237,192.1469080617592
3238,192.1469080617592
3239,192.1469080617592
3240,192.1469080617592
3241,192.1469080617592
3242,192.1469080617592
3243,192.1469080617592
3244,192.1469080617592
3245,192.1469080617592
3246,192.1469080617592
3247,192.1469080617592
3248,192.1469080617592
3249,192.1469080617592
3250,192.1469080617592
3251,192.1469080617592
3252,192.1469080617592
3253,192.1469080617592
3254,192.1469080617592
3255,192.1469080617592
3256,192.1469080617592
3257,192.1469080617592
3258,192.1469080617592
3259,192.1469080617592
3260,192.1469080617592
3261,192.1469080617592
3262,192.1469080617592
3263,192.1469080617592
3264,192.1469080617592
3265,192.1469080617592
3266,192.1469080617592
3267,192.1469080617592
3268,192.1469080617592
3269,192.1469080617592
3270,192.1469080617592
3271,192.1469080617592
3272,192.1469080617592
3273,192.1469080617592
3274,192.1469080617592
3275,192.1469080617592
